Word,Occurances,IsName
"WorldCup,WorldCupFinal,russia",2,false
"WorldCup,ENGCRO,ItsComingHome",19,false
"ItsComingHome,CROENG,ENGCRO,England,Croatia,WorldCup",2,false
"worldcup,FrancevsCroatia,FRAvCRO,FRA,FRACRO,France,Croatia,FootballFever,FootballWorldCup,FootstepsTogether,FootballWorldCup2018",2,false
"LesBleus,WorldCup,WorldCupFinal",13,false
"WorldCup,CRODEN,CRO,DEN,FIFAWCOnStarTimes",3,false
"ChelseaFC,WorldCup,SkySport,bbcfootball,PremierLeague,yokohamafc",2,false
"ARG,ARG,FRA,WorldCup,Rusia2018",2,false
"toptea,thanks,WorldCup",2,false
"FRA,WorldCup,CRO,BEL,ENG,FRA,Croatia,France",2,false
"Mockba,Moscow,Russia,Croacia,Underdog,WorldCup2018,FRANCE,WorldCup,WorldcupFinal,WC18,WC2018,Worldcup2018Russia",2,false
"soccer,WorldCup,ESPRUS,CRODEN",2,false
"worldcup,girlboss,liyanahgirls",3,false
"WorldCup,FRACRO,France,Croatia,Griezmann,Rakitic,Anime,Fanart,GIMP,ColorblindArtist,JonnyAngel,Dirulius,Fanboy",2,false
"worldcup,downtownorlando,worldcupfinal",2,false
